,DATE,GDP,EXPENDITURES,M1V,Natural_Gas_Price,Natural_Gas_Vol.,Crude_oil_Price,Crude_oil_Vol.,Copper_Price,Copper_Vol.,Bitcoin_Price,Bitcoin_Vol.,Platinum_Price,Platinum_Vol.,Ethereum_Price,Ethereum_Vol.,S&P_500_Price,Nasdaq_100_Price,Nasdaq_100_Vol.,Apple_Price,Apple_Vol.,Tesla_Price,Tesla_Vol.,Microsoft_Price,Microsoft_Vol.,Silver_Price,Silver_Vol.,Google_Price,Google_Vol.,Nvidia_Price,Nvidia_Vol.,Berkshire_Price,Berkshire_Vol.,Netflix_Price,Netflix_Vol.,Amazon_Price,Amazon_Vol.,Meta_Price,Meta_Vol.,Gold_Price,Gold_Vol.,DOLLAR INDEX,IORB,CPI,UNRATE
0,2020-01-01,21727.657,7547.32,5.335,1.866774193548387,189303.38709677418,45.777419354838706,686347.2580645161,2.5562741935483873,56825.0,8290.233870967742,1136159.3548387096,901.0532258064517,4735.471953668675,184.46290322580646,20435645.16129032,3055.869193548387,8688.478870967741,246507741.93548387,73.54129032258065,197455967.7419355,41.45516129032258,315212580.6451613,164.4490322580645,49356451.61290322,16.85367741935484,90628.54838709677,67.76403225806452,49617903.22580645,63.09193548387096,54460161.29032258,318723.7580645161,484.19354838709677,353.7772580645161,7838064.516129033,96.7874193548387,110077419.35483871,195.7832258064516,21214193.548387095,1586.624193548387,378204.51612903224,117.75739516129032,0.15,258.7673333333333,3.8333333333333335
1,2020-04-01,19935.444,10844.54,1.59,1.7541129032258065,170417.09677419355,27.899677419354838,445887.4193548387,2.4302177419354836,18029.677419354837,8690.048387096775,1020097.0967741936,811.7814516129032,5170.770631918173,205.65435483870968,17321290.322580647,2930.7185483870967,9189.013870967741,225229032.2580645,77.46274193548386,148239677.41935483,54.08983870967742,218284193.5483871,181.5241935483871,38753064.51612903,16.587967741935483,56308.3870967742,67.36564516129032,42246774.19354839,80.79532258064516,52876451.61290322,274094.06451612903,566.9354838709677,425.7927419354839,7575000.0,120.77612903225807,94041612.90322581,208.40112903225807,25257903.225806452,1725.4483870967742,191206.12903225806,121.84220625,0.15,256.326,13.0
2,2020-07-01,21684.551,9810.056,1.279,2.124145161290323,144020.32258064515,40.99596774193548,303449.03225806454,2.945693548387097,24022.58064516129,10686.693548387097,1050956.6129032257,924.3975806451613,2919.74358974359,345.3414516129032,9766451.612903226,3321.9003225806455,11133.782741935484,208203870.96774194,109.30709677419355,171412258.06451613,118.62806451612903,240489677.41935483,210.14161290322582,34624516.12903226,24.654209677419352,132414.83870967742,76.21016129032257,35092741.93548387,116.60290322580646,52448548.38709678,307053.8387096774,390.0,497.61016129032254,7321129.0322580645,157.73225806451612,101304193.5483871,257.9566129032258,24839838.70967742,1921.3709677419354,295420.48387096776,117.358425,0.19166666666666668,259.2416666666667,8.799999999999999
3,2020-10-01,22068.767,8560.619,1.254,2.7594761904761906,135159.3650793651,42.65238095238095,320977.61904761905,3.2692222222222225,23538.095238095237,16801.050793650793,123039.20634920635,946.5269841269841,6115.901639344263,493.53063492063495,12116190.476190476,3553.1706349206347,12041.314285714287,198715714.2857143,120.33968253968253,115798412.6984127,170.25968253968256,132191746.03174603,215.0211111111111,28335555.555555556,24.591380952380952,76689.68253968254,84.04142857142857,33031269.84126984,133.9014285714286,32659206.34920635,330497.6984126984,345.23809523809524,507.2247619047619,5093968.253968254,159.57476190476189,89610317.46031746,274.08222222222224,18525714.285714287,1880.3761904761905,204812.85714285713,113.92367,0.8368131868131868,261.04966666666667,6.733333333333333
4,2021-01-01,22656.793,11186.668,1.236,2.718322033898305,125379.66101694915,58.191355932203386,404625.9322033898,3.869491525423729,58212.03389830508,45799.38305084746,152848.98305084746,1166.915254237288,6476.666666666667,1555.9915254237287,2194850.5084745763,3865.7054237288135,13116.090677966102,220643728.81355932,128.2849152542373,111092372.88135593,250.3028813559322,108126271.18644068,232.08762711864406,30622711.86440678,26.277118644067794,88448.81355932204,98.73627118644067,36511016.949152544,134.15745762711865,33793220.33898305,366852.4576271186,1358.135593220339,530.4669491525424,4698135.593220339,158.47033898305085,73208983.05084746,269.3150847457627,20753728.813559324,1791.9186440677965,230835.42372881356,112.37469166666666,2.253260869565217,263.6703333333333,6.233333333333333
5,2021-04-01,23368.861,9616.591,1.218,2.975258064516129,106463.3870967742,66.14451612903225,356737.0967741936,4.407322580645162,34157.41935483871,46647.90483870968,146953.87096774194,1184.1435483870966,6148.474576271186,2624.878387096774,2207084.0322580645,4183.32935483871,13800.96129032258,177643064.51612905,129.65403225806452,82917258.06451613,217.23306451612905,87367741.93548387,254.29177419354838,24986290.322580647,26.762612903225804,68731.12903225806,116.76080645161291,29475967.741935484,160.24629032258065,38023064.51612903,420097.43548387097,1744.032258064516,511.35822580645157,4105645.1612903224,166.28354838709677,69876290.32258065,320.6740322580645,17867741.93548387,1814.1725806451611,204895.0,111.8373984375,3.7233695652173915,268.62266666666665,5.933333333333334
6,2021-07-01,23921.991,9268.372,1.215,4.322822580645161,130366.6129032258,70.5066129032258,364399.67741935485,4.302225806451613,22754.032258064515,41764.30806451613,78555.80645161291,1018.7112903225806,6245.666666666667,2826.926774193548,1044726.7741935484,4421.345806451613,15109.751612903225,171158225.80645162,147.1541935483871,80482903.22580644,235.36370967741934,56968387.09677419,291.0158064516129,22874516.129032258,24.268838709677418,55809.1935483871,136.0998387096774,26078387.096774194,207.3466129032258,29992258.06451613,422768.12903225806,1098.0645161290322,549.5435483870967,3318064.5161290322,172.26370967741937,64405806.451612905,359.92967741935485,14120322.58064516,1790.7709677419355,180007.25806451612,113.3141390625,4.586111111111112,272.89000000000004,5.066666666666666
7,2021-10-01,24777.038,8877.427,1.224,4.826428571428571,135656.19047619047,77.24507936507936,400252.5396825397,4.379452380952381,21608.73015873016,56013.58095238095,70693.96825396825,999.4142857142857,6508.225806451613,4095.7393650793647,666196.0317460317,4602.264285714286,15840.52746031746,201683968.25396827,158.05650793650793,89282222.22222222,334.9888888888889,79842539.68253969,324.12333333333333,25843492.063492063,23.369761904761905,55181.90476190476,144.05492063492062,30463174.603174604,274.51603174603173,42162063.49206349,431879.07936507935,1682.2222222222222,638.4965079365079,3496984.126984127,171.0815873015873,63784126.984126985,331.97761904761904,23064761.904761903,1796.8349206349208,180148.09523809524,114.9794786885246,5.05934065934066,278.6803333333333,4.166666666666667
8,2022-01-01,25215.491,8404.103,1.225,4.561116666666667,115539.16666666667,95.213,405960.5,4.554858333333333,34547.166666666664,41510.28833333333,610221898.3333334,1030.5683333333334,7743.275862068966,2943.6093333333333,257251901.33333334,4464.613833333334,14578.1455,261395000.0,168.20033333333333,95619333.33333333,311.56083333333333,81475000.0,301.0428333333333,38259000.0,24.147466666666666,58026.5,135.92466666666667,39081333.333333336,250.94166666666666,53195833.333333336,485817.25,2216.3333333333335,415.39733333333334,8345000.0,154.5135,78511833.33333333,249.58666666666667,37102166.666666664,1880.72,206904.16666666666,115.49977258064516,5.3293478260869565,284.826,3.8000000000000003
9,2022-04-01,25805.791,8902.328,1.249,7.503333333333333,128891.01694915254,108.38433333333334,273031.0,4.357625,682.6666666666666,32543.05,216019518.83333334,954.0383333333334,7674.137931034483,2231.5314999999996,1163873.8333333333,4110.998833333333,12754.5385,255229166.66666666,151.74200000000002,94225666.66666667,273.89500000000004,87618166.66666667,271.6898333333333,32067833.333333332,22.667316666666668,54666.166666666664,117.90266666666666,38084500.0,189.15200000000002,57263000.0,472181.18333333335,2519.8333333333335,222.953,13732833.333333334,125.48949999999999,87934500.0,193.50116666666665,32442000.0,1874.51,165594.16666666666,118.96322063492063,5.4,291.7063333333333,3.6333333333333333
10,2022-07-01,26272.011,8985.644,1.286,7.966306451612903,87907.16666666667,91.375,283228.22580645164,3.4963145161290323,4706.129032258064,21333.082258064518,288436.6129032258,879.7322580645161,6277.068965517241,1525.8245161290322,1235690.9677419355,3983.9175806451613,12399.220483870968,246471612.9032258,157.23774193548385,78957258.06451613,280.0940322580645,74189516.12903225,264.24290322580646,24894516.129032258,19.198193548387096,56544.032258064515,110.91645161290322,29909193.548387095,158.60870967741934,55776290.32258064,428540.5483870968,2465.967741935484,222.76629032258066,10346612.903225806,126.60870967741936,58038709.67741936,162.03854838709677,27601290.322580647,1735.1193548387096,175894.35483870967,123.53624375,5.4,295.509,3.533333333333333
11,2022-10-01,26734.277,9287.529,1.339,6.054825396825397,84901.42857142857,82.72380952380954,268365.60975609755,3.631738095238095,29594.761904761905,18088.895238095236,322822.5396825397,979.6166666666667,18907.69230769231,1302.0985714285716,726391.4285714285,3851.9734920634924,11345.206984126984,281270476.1904762,142.9111111111111,83551587.3015873,189.34238095238095,104209523.8095238,239.98555555555555,29775873.015873015,21.35131746031746,58910.793650793654,95.03428571428572,31712698.412698414,146.6526984126984,50922380.952380955,448761.74603174604,2970.3174603174602,280.49396825396826,11318730.158730159,98.78190476190477,80062857.14285715,117.42539682539683,44661111.11111111,1736.8285714285714,176753.96825396825,124.82148032786885,5.4,298.44100000000003,3.5666666666666664
12,2023-01-01,27164.359,9521.912,1.408,2.7652258064516126,118535.0,76.04338709677418,286115.8064516129,4.075991935483871,81621.52542372882,23009.067741935483,345127.5806451613,998.3282258064515,22107.5,1593.164193548387,612511.9354838709,4000.085,12111.04435483871,289626774.1935484,147.55112903225807,68168548.38709678,174.44629032258064,174774032.2580645,255.07983870967743,32377096.774193548,22.55617741935484,29376.428571428572,95.93725806451613,39830161.29032258,216.4108064516129,50004838.70967742,466851.0483870968,4465.967741935484,330.9340322580645,7785483.870967742,96.61483870967741,67758064.51612903,170.3032258064516,32068709.677419353,1896.3306451612902,103580.64516129032,120.34234354838709,5.334782608695653,301.20300000000003,3.5
13,2023-04-01,27453.815,9751.376,1.478,2.332693548387097,137654.51612903227,73.56048387096774,299217.5806451613,3.8466048387096774,63852.20338983051,28075.461290322582,72424.19354838709,1034.7443548387098,21199.130434782608,1862.0635483870967,477187.9032258064,4206.072903225806,13817.574516129032,273278064.516129,174.25016129032258,56265161.29032258,199.9617741935484,139207903.22580644,313.408064516129,27094032.258064516,24.332838709677418,40801.27659574468,115.10274193548386,33274032.258064516,332.00709677419354,47214677.41935484,497809.43548387097,6054.032258064516,368.32048387096773,6692903.225806451,114.19580645161291,61935000.0,246.76000000000002,22540161.29032258,1983.9338709677418,89006.7741935484,119.58965873015873,4.9,303.46666666666664,3.5666666666666664
14,2023-07-01,27967.697,9866.83,1.531,2.6564761904761904,116769.36507936507,82.21714285714286,307085.71428571426,3.7951746031746034,64225.24590163935,28091.663492063493,50113.968253968254,935.0420634920636,18820.909090909092,1756.7188888888888,283914.7619047619,4458.13746031746,15222.454285714286,257655396.82539684,183.384126984127,57296031.746031746,256.87507936507933,116027777.77777778,330.4428571428572,24438412.698412698,23.78942857142857,51775.71428571428,129.36174603174604,27937777.777777776,448.028253968254,48496666.666666664,538988.9682539683,7601.428571428572,423.91031746031746,5947936.507936508,133.99539682539682,52903333.333333336,301.30031746031744,22693968.253968254,1949.0460317460318,160463.0158730159,120.20475555555555,5.211594202898551,306.03433333333334,3.6999999999999997
15,2023-10-01,28296.967,9791.775,1.569,2.926079365079365,126152.53968253969,78.53412698412698,294454.44444444444,3.7285079365079365,70101.75438596492,36131.76507936508,61923.01587301587,919.3753968253968,20595.172413793105,1957.264603174603,425953.9682539682,4464.952380952381,15581.579206349206,255789677.41935483,184.6404761904762,52260000.0,237.6568253968254,118929365.07936507,355.93,25485079.365079366,23.423460317460318,54947.1186440678,134.35571428571427,28778888.888888888,463.4198412698413,41987460.31746032,533852.1428571428,8032.222222222223,436.53714285714284,4952539.682539683,140.17809523809524,49635873.015873015,325.65444444444444,18424603.174603175,1985.3444444444444,126551.7741935484,121.86107540983606,5.148792270531401,308.099,3.733333333333333
16,2023-10-01,28296.967,9791.775,1.569,2.926079365079365,126152.53968253969,78.53412698412698,294454.44444444444,3.7285079365079365,70101.75438596492,36131.76507936508,61923.01587301587,919.3753968253968,20595.172413793105,1957.264603174603,425953.9682539682,4464.952380952381,15581.579206349206,255789677.41935483,184.6404761904762,52260000.0,237.6568253968254,118929365.07936507,355.93,25485079.365079366,23.423460317460318,54947.1186440678,134.35571428571427,28778888.888888888,463.4198412698413,41987460.31746032,533852.1428571428,8032.222222222223,436.53714285714284,4952539.682539683,140.17809523809524,49635873.015873015,325.65444444444444,18424603.174603175,1985.3444444444444,126551.7741935484,121.86107540983606,5.148792270531401,308.099,3.7
17,2023-10-01,28296.967,9791.775,1.569,2.926079365079365,126152.53968253969,78.53412698412698,294454.44444444444,3.7285079365079365,70101.75438596492,36131.76507936508,61923.01587301587,919.3753968253968,20595.172413793105,1957.264603174603,425953.9682539682,4464.952380952381,15581.579206349206,255789677.41935483,184.6404761904762,52260000.0,237.6568253968254,118929365.07936507,355.93,25485079.365079366,23.423460317460318,54947.1186440678,134.35571428571427,28778888.888888888,463.4198412698413,41987460.31746032,533852.1428571428,8032.222222222223,436.53714285714284,4952539.682539683,140.17809523809524,49635873.015873015,325.65444444444444,18424603.174603175,1985.3444444444444,126551.7741935484,121.86107540983606,5.0867954911433175,308.099,3.733333333333333
18,2023-10-01,28296.967,9791.775,1.569,2.926079365079365,126152.53968253969,78.53412698412698,294454.44444444444,3.7285079365079365,70101.75438596492,36131.76507936508,61923.01587301587,919.3753968253968,20595.172413793105,1957.264603174603,425953.9682539682,4464.952380952381,15581.579206349206,255789677.41935483,184.6404761904762,52260000.0,237.6568253968254,118929365.07936507,355.93,25485079.365079366,23.423460317460318,54947.1186440678,134.35571428571427,28778888.888888888,463.4198412698413,41987460.31746032,533852.1428571428,8032.222222222223,436.53714285714284,4952539.682539683,140.17809523809524,49635873.015873015,325.65444444444444,18424603.174603175,1985.3444444444444,126551.7741935484,121.86107540983606,5.0867954911433175,308.099,3.7
